										
Stock Market Data Used in "Irrational Exuberance" Princeton University Press, 2000, 2005, updated										Cyclically
Robert J. Shiller										Adjusted
										Price
				  Consumer						Earnings
	S&P			Price		Long				Ratio
	Comp.	Dividend	Earnings	Index	Date  	Interest	Real	Real	Real	P/E10 or
Date	P	D	E	CPI	Fraction	Rate GS10	Price	Dividend	Earnings	CAPE
1876.08	3.93	0.30	0.31	10.18	1876.63	4.51	91.30	6.97	7.13	NA
1876.09	3.69	0.30	0.30	10.28	1876.71	4.50	84.93	6.90	6.90	NA
1876.1	3.67	0.30	0.29	10.47	1876.79	4.49	82.93	6.78	6.63	NA
1876.11	3.60	0.30	0.29	10.56	1876.87	4.47	80.62	6.72	6.42	NA
1876.12	3.58	0.30	0.28	10.75	1876.96	4.46	78.75	6.60	6.16	NA
1877.01	3.55	0.29	0.28	10.94	1877.04	4.45	76.73	6.29	6.09	NA
1877.02	3.34	0.28	0.28	10.66	1877.12	4.44	74.13	6.25	6.29	NA
1877.03	3.17	0.27	0.29	10.18	1877.21	4.43	73.64	6.33	6.62	NA
1877.04	2.94	0.26	0.29	10.47	1877.29	4.42	66.44	5.95	6.48	NA
1877.05	2.94	0.25	0.29	10.66	1877.37	4.41	65.25	5.64	6.40	NA
1877.06	2.73	0.25	0.29	10.09	1877.46	4.40	64.02	5.75	6.80	NA
1877.07	2.85	0.24	0.29	10.18	1877.54	4.40	66.21	5.48	6.78	NA
1877.08	3.05	0.23	0.29	9.80	1877.62	4.39	73.61	5.47	7.08	NA
1877.09	3.24	0.22	0.30	9.70	1877.71	4.38	78.96	5.30	7.19	NA
1877.1	3.31	0.21	0.30	9.70	1877.79	4.37	80.67	5.08	7.23	NA
1877.11	3.26	0.20	0.30	9.51	1877.87	4.36	81.04	4.95	7.42	NA
1877.12	3.25	0.19	0.30	9.51	1877.96	4.35	80.79	4.72	7.46	NA
1878.01	3.25	0.19	0.30	9.23	1878.04	4.34	83.29	4.85	7.71	NA
1878.02	3.18	0.19	0.30	9.13	1878.12	4.33	82.34	4.88	7.81	NA
1878.03	3.24	0.19	0.30	8.94	1878.21	4.32	85.68	4.96	8.00	NA
1878.04	3.33	0.19	0.30	8.85	1878.29	4.31	89.01	4.99	8.11	NA
1878.05	3.34	0.19	0.30	8.56	1878.37	4.30	92.25	5.13	8.40	NA
1878.06	3.41	0.19	0.31	8.37	1878.46	4.29	96.32	5.23	8.62	NA
1878.07	3.48	0.18	0.31	8.47	1878.54	4.28	97.20	5.14	8.54	NA
1878.08	3.45	0.18	0.31	8.56	1878.62	4.27	95.29	5.06	8.47	NA
